season,phase,round_name,game_code,date,round_code,game_url,date_time,d,m,y,game_date,home_adv,prob_pred,winner,winner_pred,correct_pred,where,team,points,team_code,win_points,expected_prob,mov,elo_prev,elo_new,pt_diff,elo_diff
2001,RS,Round 1,9,2001 October 11 20:30 CET,1,https://www.euroleague.net/main/results/showgame?gamecode=9&seasoncode=E2001,2001-10-11T18:30:00Z,11,10,2001,2001-10-11,100,PAU,PAU,PAU,TRUE,home,Pau-Orthez,91,PAU,1,0.6400649998028851,0.840676929323741,1300,1307.5647262680463,8,100
2001,RS,Round 1,9,2001 October 11 20:30 CET,1,https://www.euroleague.net/main/results/showgame?gamecode=9&seasoncode=E2001,2001-10-11T18:30:00Z,11,10,2001,2001-10-11,-100,PAU,PAU,PAU,TRUE,away,CSKA Moscow,83,CSK,0,0.3599350001971149,0.9868816126843916,1300,1291.1196691635978,-8,-100
2001,RS,Round 1,10,2001 October 11 21:00 CET,1,https://www.euroleague.net/main/results/showgame?gamecode=10&seasoncode=E2001,2001-10-11T19:00:00Z,11,10,2001,2001-10-11,100,PAN,PAN,PAN,TRUE,home,Panathinaikos,81,PAN,1,0.6400649998028851,1.0195708485172172,1300,1309.1744808390504,11,100
2001,RS,Round 1,10,2001 October 11 21:00 CET,1,https://www.euroleague.net/main/results/showgame?gamecode=10&seasoncode=E2001,2001-10-11T19:00:00Z,11,10,2001,2001-10-11,-100,PAN,PAN,PAN,TRUE,away,Skipper Bologna,70,FOR,0,0.3599350001971149,1.1968875178245593,1300,1289.2299572758973,-11,-100
2001,RS,Round 2,32,2001 October 16 20:00 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=32&seasoncode=E2001,2001-10-16T18:00:00Z,16,10,2001,2001-10-16,100,PEM,PEM,OOS,FALSE,home,Telindus Oostende,79,OOS,0,0.6149172081348494,0.6607591282899997,1290.479494803511,1280.3216908430684,-5,81.30501396446061
2001,RS,Round 2,32,2001 October 16 20:00 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=32&seasoncode=E2001,2001-10-16T18:00:00Z,16,10,2001,2001-10-16,-100,PEM,PEM,OOS,FALSE,away,Ural Great,84,PEM,1,0.3850827918651506,0.7526959138408699,1309.1744808390504,1320.7456225868889,5,-81.30501396446061
2001,RS,Round 2,17,2001 October 17 19:30 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=17&seasoncode=E2001,2001-10-17T17:30:00Z,17,10,2001,2001-10-17,100,TRE,IST,IST,TRUE,home,Efes Pilsen,87,IST,1,0.615267778656796,0.9137602756464688,1286.8316002555218,1295.620425771138,9,81.56224473163729
2001,RS,Round 2,17,2001 October 17 19:30 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=17&seasoncode=E2001,2001-10-17T17:30:00Z,17,10,2001,2001-10-17,-100,TRE,IST,IST,TRUE,away,Benetton Basket,78,TRE,0,0.38473222134320395,1.0413294831498812,1305.2693555238845,1295.253530393824,-9,-81.56224473163729
2001,RS,Round 2,18,2001 October 17 20:00 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=18&seasoncode=E2001,2001-10-17T18:00:00Z,17,10,2001,2001-10-17,100,BER,OLY,BER,FALSE,home,Alba Berlin,69,BER,0,0.6095824860177498,1.4886227903433922,1288.618801320092,1265.9328417880868,-19,77.40127561183272
2001,RS,Round 2,18,2001 October 17 20:00 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=18&seasoncode=E2001,2001-10-17T18:00:00Z,17,10,2001,2001-10-17,-100,BER,OLY,BER,FALSE,away,Olympiacos,88,OLY,1,0.3904175139822502,1.6851457789515263,1311.2175257082592,1336.898409539149,19,-77.40127561183272
2001,RS,Round 2,20,2001 October 17 20:30 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=20&seasoncode=E2001,2001-10-17T18:30:00Z,17,10,2001,2001-10-17,100,MAL,MAL,MAL,TRUE,home,Unicaja,76,MAL,1,0.6614893794619181,0.830598854592015,1293.8142348197878,1300.8433981619419,8,116.38023073666886
2001,RS,Round 2,20,2001 October 17 20:30 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=20&seasoncode=E2001,2001-10-17T18:30:00Z,17,10,2001,2001-10-17,-100,MAL,MAL,MAL,TRUE,away,Spirou Basket,68,CHA,0,0.3385106205380819,1.0011415514785527,1277.434004083119,1268.9615778871823,-8,-116.38023073666886
2001,RS,Round 2,25,2001 October 17 18:00 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=25&seasoncode=E2001,2001-10-17T16:00:00Z,17,10,2001,2001-10-17,100,ZAD,PAU,ZAD,FALSE,home,Zadar,79,ZAD,0,0.6429233161384912,0.584654632173402,1309.7237995573648,1300.3265971845485,-4,102.15907328931848
2001,RS,Round 2,25,2001 October 17 18:00 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=25&seasoncode=E2001,2001-10-17T16:00:00Z,17,10,2001,2001-10-17,-100,ZAD,PAU,ZAD,FALSE,away,Pau-Orthez,83,PAU,1,0.3570766838615088,0.6887244105325016,1307.5647262680463,1318.6346508161735,4,-102.15907328931848
2001,RS,Round 2,29,2001 October 17 18:00 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=29&seasoncode=E2001,2001-10-17T16:00:00Z,17,10,2001,2001-10-17,100,PAR,AEK,AEK,TRUE,home,AEK Athens,106,AEK,1,0.6228719423631541,2.3362309301234028,1295.2740295581757,1317.3004853798898,36,87.16396957598135
2001,RS,Round 2,29,2001 October 17 18:00 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=29&seasoncode=E2001,2001-10-17T16:00:00Z,17,10,2001,2001-10-17,-100,PAR,AEK,AEK,TRUE,away,Partizan,70,PAR,0,0.37712805763684587,2.6864697538060316,1308.1100599821943,1282.7814819783691,-36,-87.16396957598135
2001,RS,Round 2,30,2001 October 17 20:30 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=30&seasoncode=E2001,2001-10-17T18:30:00Z,17,10,2001,2001-10-17,100,ASV,BAS,BAS,TRUE,home,Tau Ceramica,90,BAS,1,0.6294165349923315,1.7345247439512923,1296.046670705321,1312.1163254491962,24,92.02084403265599
2001,RS,Round 2,30,2001 October 17 20:30 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=30&seasoncode=E2001,2001-10-17T18:30:00Z,17,10,2001,2001-10-17,-100,ASV,BAS,BAS,TRUE,away,Asvel Basket,66,ASV,0,0.3705834650076685,2.010198844148007,1304.025826672665,1285.4021653471957,-24,-92.02084403265599
2001,RS,Round 2,31,2001 October 17 20:30 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=31&seasoncode=E2001,2001-10-17T18:30:00Z,17,10,2001,2001-10-17,100,PES,PES,PES,TRUE,home,Scavolini Pesaro,88,PES,1,0.6211102100282907,1.1465237093152592,1289.2299572758973,1300.0901104613984,13,85.86230639524479
2001,RS,Round 2,31,2001 October 17 20:30 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=31&seasoncode=E2001,2001-10-17T18:30:00Z,17,10,2001,2001-10-17,-100,PES,PES,PES,TRUE,away,Cibona VIP,75,CIB,0,0.3788897899717093,1.3156500430117655,1303.3676508806525,1290.9054916688276,-13,-85.86230639524479
2001,RS,Round 2,19,2001 October 18 18:00 CET,2,https://www.euroleague.net/main/results/showgame?gamecode=19&seasoncode=E2001,2001-10-18T16:00:00Z,18,10,2001,2001-10-18,100,WRO,WRO,WRO,TRUE,home,Idea Slask,79,WRO,1,0.6620243514538179,1.176262824065726,1326.490516945904,1336.4292217165134,14,116.79542177413055
